adhyaya,pada,sutra_number,sutra_text,adhikarana
1,1,1,ॐ ॐ अथातो ब्रह्मजिज्ञासा ॐ,जिज्ञासाधिकरणम्
1,1,2,ॐ जन्माद्यस्य यतः ॐ,जन्माधिकरणम्
1,1,3,ॐ शास्त्रयोनित्वात् ॐ,शास्त्रयोनित्वाधिकरणम्
1,1,4,ॐ तत्तु समन्वयात् ॐ,समन्वयाधिकरणम्
1,1,5,ॐ ईक्षतेर्नाशब्दम् ॐ,ईक्षत्यधिकरणम्
1,1,6,ॐ गौणश्चेन्नात्मशब्दात् ॐ,ईक्षत्यधिकरणम्
1,1,7,ॐ तन्निष्ठस्य मोक्षोपदेशात् ॐ,ईक्षत्यधिकरणम्
1,1,8,ॐ हेयत्वावचनाच्च ॐ,ईक्षत्यधिकरणम्
1,1,9,ॐ स्वाप्ययात् ॐ,ईक्षत्यधिकरणम्
1,1,10,ॐ गतिसामान्यात् ॐ,ईक्षत्यधिकरणम्
1,1,11,ॐ श्रुतत्वाच्च ॐ,ईक्षत्यधिकरणम्
1,1,12,ॐ आनन्दमयोऽभ्यासात् ॐ,आनन्दमयाधिकरणम्
1,1,13,ॐ विकारशब्दान्नेति चेन्न प्राचुर्यात् ॐ,आनन्दमयाधिकरणम्
1,1,14,ॐ तद्धेतुव्यपदेशाच्च ॐ,आनन्दमयाधिकरणम्
1,1,15,ॐ मान्त्रवर्णिकमेव च गीयते ॐ,आनन्दमयाधिकरणम्
1,1,16,ॐ नेतरोऽनुपपत्तेः ॐ,आनन्दमयाधिकरणम्
1,1,17,ॐ भेदव्यपदेशाच्च ॐ,आनन्दमयाधिकरणम्
1,1,18,ॐ कामाच्च नानुमानापेक्षा ॐ,आनन्दमयाधिकरणम्
1,1,19,ॐ अस्मिन्नस्य च तद्योगं शास्ति ॐ,आनन्दमयाधिकरणम्
1,1,20,ॐ अन्तस्तद्धर्मोपदेशात् ॐ,अन्तःस्तत्थ्वाधिकरणम्
1,1,21,ॐ भेदव्यपदेशाच्चान्यः ॐ,अन्तःस्तत्थ्वाधिकरणम्
1,1,22,ॐ आकाशस्तल्लिङ्गात् ॐ,आकाशाधिकरणम्
1,1,23,ॐ अत एव प्राणः ॐ,प्राणाधिकरणम्
1,1,24,ॐ ज्योतिश्चरणाभिधानात् ॐ,ज्योतिरधिकरणम्
1,1,25,ॐ छन्दोऽभिधानान्नेति चेन्न तथा चेतोऽर्पणनिगदात् तथा हि दर्शनम् ॐ,गायत्र्यधिकरणम्
1,1,26,ॐ भूतादिपादव्यपदेशोपपत्तेश्चैवम् ॐ,गायत्र्यधिकरणम्
1,1,27,ॐ उपदेशभेदान्नेति चेन्नोभयस्मिन्नप्यविरोधात् ॐ,गायत्र्यधिकरणम्
1,1,28,ॐ प्राणस्तथाऽनुगमात् ॐ,पादान्त्यप्राणाधिकरणम्
1,1,29,ॐ न वक्तुरात्मोपदेशादिति चेदध्यात्मसम्भन्धभूमा ह्यस्मिन् ॐ,पादान्त्यप्राणाधिकरणम्
1,1,30,ॐ शास्त्रदृष्ट्यातूपदेशो वामदेववत् ॐ,पादान्त्यप्राणाधिकरणम्
1,1,31,ॐ जीवमुख्यप्राणलिङ्गान्नेति चेन्नोपासात्रैविध्यादाश्रितत्वादिह तद्योगात् ॐ,पादान्त्यप्राणाधिकरणम्
1,2,1,ॐ सर्वत्र प्रसिद्धोपदेशात् ॐ,सर्वगतत्वाधिकरणम्
1,2,2,ॐ विवक्षितगुणोपपत्तेश्च ॐ,सर्वगतत्वाधिकरणम्
1,2,3,ॐ अनुपपत्तेस्तुन शारीरः ॐ,सर्वगतत्वाधिकरणम्
1,2,4,ॐ कर्मकर्तृव्यपदेशाच्च ॐ,सर्वगतत्वाधिकरणम्
1,2,5,ॐ शब्दविशेषात् ॐ,सर्वगतत्वाधिकरणम्
1,2,6,ॐ स्मृतेश्च ॐ,सर्वगतत्वाधिकरणम्
1,2,7,ॐ अर्भकौकस्त्वात् तद्व्यपदेशाच्च नेति चेन्न निचाय्यत्वादेवं व्योमवच्च ॐ,सर्वगतत्वाधिकरणम्
1,2,8,ॐ सम्भोगप्राप्तिरिति चेन्न वैशेष्यात् ॐ,सर्वगतत्वाधिकरणम्
1,2,9,ॐ अत्ताचराचरग्रहणात् ॐ,अत्तृत्वाधिकरणम्
1,2,10,ॐ प्रकरणाच्च ॐ,अत्तृत्वाधिकरणम्
1,2,11,ॐ गुहां प्रविष्टावात्मानौ हि तद्दर्शनात् ॐ,गुहाधिकरणम्
1,2,12,ॐ विशेषणाच्च ॐ,गुहाधिकरणम्
1,2,13,ॐ अन्तर उपपत्तेः ॐ,इत्यन्तराधिकरणम्
1,2,14,ॐ स्थानादिव्यपदेशाच्च ॐ,इत्यन्तराधिकरणम्
1,2,15,ॐ सुखविशिष्टाभिधानादेव च ॐ,इत्यन्तराधिकरणम्
1,2,16,ॐ श्रुतोपनिषत्कगत्यभिधानाच्च ॐ,इत्यन्तराधिकरणम्
1,2,17,ॐ अनवस्थितेरसम्भवाच्च नेतरः ॐ,इत्यन्तराधिकरणम्
1,2,18,ॐ अन्तर्याम्यधिदैवादिषु तद्धर्मव्यपदेशात् ॐ,इत्यन्तर्याम्यधिकरणम्
1,2,19,ॐ न च स्मार्तमतद्धर्माभिलापात् ॐ,इत्यन्तर्याम्यधिकरणम्
1,2,20,ॐ शारीरश्चोभयेऽपि हि भेदेनैनमधीयते ॐ,इत्यन्तर्याम्यधिकरणम्
1,2,21,ॐ अदृश्यत्वादिगुणको धर्मोक्तेः ॐ,अदृश्यत्वाधिकरणम्
1,2,22,ॐ विशेषणभेदव्यपदेशाभ्यां नेतरौ ॐ,अदृश्यत्वाधिकरणम्
1,2,23,ॐ रूपोपन्यासाच्च ॐ,अदृश्यत्वाधिकरणम्
1,2,24,ॐ वैश्वानरः साधारणशब्दविशेषात् ॐ,वैश्वानराधिकरणम्
1,2,25,ॐ स्मर्यमाणमनुमानं स्यादिति ॐ,वैश्वानराधिकरणम्
1,2,26,ॐ शब्दादिभ्योऽन्तः प्रतिष्ठानान्नेति चेन्न तथा दृष्ट्युपदेशादसम्भवात् पुरुषविधमपि चैनमधीयते ॐ,वैश्वानराधिकरणम्
1,2,27,ॐ अत एव न देवता भूतं च ॐ,वैश्वानराधिकरणम्
1,2,28,ॐ साक्षादप्यविरोधं जैमिनिः ॐ,वैश्वानराधिकरणम्
1,2,29,ॐ अभिव्यक्तेरित्याश्मरथ्यः ॐ,वैश्वानराधिकरणम्
1,2,30,ॐ अनुस्मृतेर्बादरिः ॐ,वैश्वानराधिकरणम्
1,2,31,ॐ सम्पत्तेरिति जैमिनिस्तथा हि दर्शयति ॐ,वैश्वानराधिकरणम्
1,2,32,ॐ आमनन्ति चैनमस्मिन् ॐ,वैश्वानराधिकरणम्
1,3,1,ॐ द्युभ्वाद्यायतनं स्वशब्दात् ॐ,द्युभ्वाधिकरणम्
1,3,2,ॐ मुक्तोपसृप्यव्यपदेशात् ॐ,द्युभ्वाधिकरणम्
1,3,3,ॐ नानुमानमतच्छब्दात् ॐ,द्युभ्वाधिकरणम्
1,3,4,ॐ प्राणभृच्च ॐ,द्युभ्वाधिकरणम्
1,3,5,ॐ भेदव्यपदेशात् ॐ,द्युभ्वाधिकरणम्
1,3,6,ॐ प्रकरणात् ॐ,द्युभ्वाधिकरणम्
1,3,7,ॐ स्थित्यदनाभ्यां च ॐ,द्युभ्वाधिकरणम्
1,3,8,ॐ भूमा सम्प्रसादादध्युपदेशात् ॐ,भूमाधिकरणम्
1,3,9,ॐ धर्मोपपत्तेश्च ॐ,भूमाधिकरणम्
1,3,10,ॐ अक्षरमम्बरान्तधृतेः ॐ,अक्षराधिकरणम्
1,3,11,ॐ सा च प्रशासनात् ॐ,अक्षराधिकरणम्
1,3,12,ॐ अन्यभावव्यावृत्तेश्च ॐ,अक्षराधिकरणम्
1,3,13,ॐ ईक्षतिकर्मव्यपदेशात् सः ॐ,सदधिकरणम्
1,3,14,ॐ दहर उत्तरेभ्यः ॐ,दहराधिकरणम्
1,3,15,ॐ गतिशब्दाभ्यां तथा हि दृष्टं लिङ्गं च ॐ,दहराधिकरणम्
1,3,16,ॐ धृतेश्च महिम्नोऽस्यास्मिन्नुपलब्धेः ॐ,दहराधिकरणम्
1,3,17,ॐ प्रसिद्धेश्च ॐ,दहराधिकरणम्
1,3,18,ॐ इतरपरामर्शात् स इति चेन्नासम्भवात् ॐ,दहराधिकरणम्
1,3,19,ॐ उत्तराच्चेदाविर्भूतस्वरूपस्तु ॐ,दहराधिकरणम्
1,3,20,ॐ अन्यार्थश्च परामर्शः ॐ,दहराधिकरणम्
1,3,21,ॐ अल्पश्रुतेरिति चेत् तदुक्तम् ॐ,दहराधिकरणम्
1,3,22,ॐ अनुकृतेस्तस्य च ॐ,अनुकृत्यधिकरणम्
