adhikarana_id,name
"Adhikarana_001","जिज्ञासाधिकरणम्"
"Adhikarana_002","जन्माधिकरणम्"
"Adhikarana_003","शास्त्रयोनित्वाधिकरणम्"
"Adhikarana_004","समन्वयाधिकरणम्"
"Adhikarana_005","ईक्षत्यधिकरणम्"
"Adhikarana_006","आनन्दमयाधिकरणम्"
"Adhikarana_007","अन्तःस्तत्थ्वाधिकरणम्"
"Adhikarana_008","आकाशाधिकरणम्"
"Adhikarana_009","प्राणाधिकरणम्"
"Adhikarana_010","ज्योतिरधिकरणम्"
"Adhikarana_011","गायत्र्यधिकरणम्"
"Adhikarana_012","पादान्त्यप्राणाधिकरणम्"
"Adhikarana_013","सर्वगतत्वाधिकरणम्"
"Adhikarana_014","अत्तृत्वाधिकरणम्"
"Adhikarana_015","गुहाधिकरणम्"
"Adhikarana_016","इत्यन्तराधिकरणम्"
"Adhikarana_017","इत्यन्तर्याम्यधिकरणम्"
"Adhikarana_018","अदृश्यत्वाधिकरणम्"
"Adhikarana_019","वैश्वानराधिकरणम्"
"Adhikarana_020","द्युभ्वाधिकरणम्"
"Adhikarana_021","भूमाधिकरणम्"
"Adhikarana_022","अक्षराधिकरणम्"
"Adhikarana_023","सदधिकरणम्"
"Adhikarana_024","दहराधिकरणम्"
"Adhikarana_025","अनुकृत्यधिकरणम्"
"Adhikarana_026","वामनाधिकरणम्"
"Adhikarana_027","देवताधिकरणम्"
"Adhikarana_028","अपशूद्राधिकरणम्"
"Adhikarana_029","कम्पनाधिकरणम्"
"Adhikarana_030","ज्योतिरधिकरणम्"
"Adhikarana_031","आकाशाधिकरणम्"
"Adhikarana_032","सुषुप्त्यधिकरणम्"
"Adhikarana_033","ब्राह्मणाधिकरणम्"
"Adhikarana_034","अनुमानिकाधिकरणम्"
"Adhikarana_035","ज्योतिरुपक्रमाधिकरणम्"
"Adhikarana_036","नसङ्ख्योपसङ्ग्रहाधिकरणम्"
"Adhikarana_037","आकाशाधिकरणम्"
"Adhikarana_038","समाकर्षाधिकरणम्"
"Adhikarana_039","प्रकृत्यधिकरणम्"
"Adhikarana_040","सर्वेव्याख्याताधिकरणम्"
"Adhikarana_041","स्मृत्यधिकरणम्"
"Adhikarana_042","नविलक्षणत्वाधिकरणम्"
"Adhikarana_043","अभिमान्यधिकरणम्"
"Adhikarana_044","असदधिकरणम्"
"Adhikarana_045","भोक्त्राधिकरणम्"
"Adhikarana_046","आरम्भणाधिकरणम्"
"Adhikarana_047","इतरव्यपदेशाधिकरणम्"
"Adhikarana_048","शब्दमूलत्वाधिकरणम्"
"Adhikarana_049","नप्रयोजनाधिकरणम्"
"Adhikarana_050","वैषम्यनैर्घृण्याधिकरणम्"
"Adhikarana_051","सर्वधर्मोपपत्यधिकरणम्"
"Adhikarana_052","रचनानुपपत्त्यधिकरणम्"
"Adhikarana_053","अन्यत्रभावाधिकरणम्"
"Adhikarana_054","अभ्युपगमाधिकरणम्"
"Adhikarana_055","पुरुषाश्माधिकरणम्"
"Adhikarana_056","अन्यथानुमित्यधिकरणम्"
"Adhikarana_057","वैशेषिकाधिकरणम्"
"Adhikarana_058","समुदायाधिकरणम्"
"Adhikarana_059","असदधिकरणम्"
"Adhikarana_060","अनुपलब्द्यधिकरणम्"
"Adhikarana_061","नैकस्मिन्नधिकरणम्"
"Adhikarana_062","पत्युरधिकरणम्"
"Adhikarana_063","उत्पत्त्य(शक्त्य)धिकरणम्"
"Adhikarana_064","वियदधिकरणम्"
"Adhikarana_065","मातरिश्वाधिकरणम्"
"Adhikarana_066","असम्भवाधिकरणम्"
"Adhikarana_067","तेजोऽधिकरणम्"
"Adhikarana_068","अबधिकरणम्"
"Adhikarana_069","पृथिव्यधिकरणम्"
"Adhikarana_070","तदभिध्यानाधिकरणम्"
"Adhikarana_071","विपर्ययाधिकरणम्"
"Adhikarana_072","अन्तराधिकरणम्"
"Adhikarana_073","आत्माधिकरणम्"
"Adhikarana_074","ज्ञाधिकरणम्"
"Adhikarana_075","उत्क्रान्त्यधिकरणम्"
"Adhikarana_076","व्यतिरेकाधिकरणम्"
"Adhikarana_077","पृथगुपदेशाधिकरणम्"
"Adhikarana_078","यावदधिकरणम्"
"Adhikarana_079","पुंस्त्वाधिकरणम्"
"Adhikarana_080","कर्तृत्वाधिकरणम्"
"Adhikarana_081","अंशाधिकरणम्"
"Adhikarana_082","अदृष्टाधिकरणम्"
"Adhikarana_083","प्राणाधिकरणम्"
"Adhikarana_084","मनोधिकरणम्"
"Adhikarana_085","वागधिकरणम्"
