id,commentary_id,commentary_key,translation,language
1,23,1.1.2_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
2,23,1.1.2_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
3,23,1.1.2_Part#1_भाष्यम्,వ్యాఖ్యానము - మీ తెలుగు వ్యాఖ్యానమును ఇక్కడ వ్రాయండి,te
4,23,1.1.2_Part#1_भाष्यम्,விளக்கம் - உங்கள் தமிழ் விளக்கத்தை இங்கே எழுதவும்,ta
5,23,1.1.2_Part#1_भाष्यम्,വ്യാഖ്യാനം - നിങ്ങളുടെ മലയാളം വ്യാഖ്യാനം ഇവിടെ എഴുതുക,ml
6,23,1.1.2_Part#1_भाष्यम्,ટીકા - તમારી ગુજરાતી ટીકા અહીં લખો,gu
7,23,1.1.2_Part#1_भाष्यम्,ବ୍ୟାଖ୍ୟା - ଆପଣଙ୍କର ଓଡ଼ିଆ ବ୍ୟାଖ୍ୟା ଏଠାରେ ଲେଖନ୍ତୁ,or
8,23,1.1.2_Part#1_भाष्यम्,ব্যাখ্যা - আপনার বাংলা ব্যাখ্যা এখানে লিখুন,bn
9,24,1.1.2_Part#1_तत्त्वप्रकाशिका,ಇಲ್ಲಿ ಕನ್ನಡದಲ್ಲಿ ಬರೆಯಿರಿ,ka
10,34,1.1.3_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
11,34,1.1.3_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
12,45,1.1.4_Part#1_भाष्यम्,ವ್ಯಾಖ್ಯಾನ - ಇಲ್ಲಿ ನಿಮ್ಮ ಕನ್ನಡ ವ್ಯಾಖ್ಯಾನವನ್ನು ಬರೆಯಿರಿ,ka
13,45,1.1.4_Part#1_भाष्यम्,Commentary - Write your English commentary here,en
